region_id,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,PI1_199_M,PI1_199_F,PI1_199_P,PI200_299_M,PI200_299_F,PI200_299_P,PI300_399_M,PI300_399_F,PI300_399_P,PI400_599_M,PI400_599_F,PI400_599_P,PI600_799_M,PI600_799_F,PI600_799_P,PI800_999_M,PI800_999_F,PI800_999_P,PI1000_more_M,PI1000_more_F,PI1000_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
IARE101001,11,11,22,8,15,23,21,21,42,12,19,31,15,23,38,13,17,30,6,5,11,17,7,24,21,11,32,124,129,253
IARE101002,138,129,267,144,178,322,187,237,424,145,232,377,141,285,426,165,171,336,109,97,206,238,170,408,117,142,259,1384,1641,3025
IARE101003,20,13,33,16,22,38,29,31,60,21,27,48,16,33,49,18,14,32,13,8,21,12,11,23,15,17,32,160,176,336
IARE101004,40,35,75,31,39,70,50,59,109,33,52,85,40,83,123,42,51,93,31,21,52,36,38,74,34,36,70,337,414,751
IARE101005,30,34,64,41,46,87,46,48,94,55,81,136,32,68,100,23,26,49,22,20,42,55,28,83,37,27,64,341,378,719
IARE101006,5,9,14,13,16,29,12,25,37,25,32,57,11,24,35,11,11,22,3,4,7,5,4,9,13,11,24,98,136,234
IARE101007,19,21,40,29,25,54,52,53,105,33,56,89,29,44,73,16,13,29,9,3,12,18,13,31,16,24,40,221,252,473
IARE101008,38,37,75,55,49,104,83,84,167,64,88,152,50,75,125,39,50,89,20,27,47,44,38,82,285,64,349,678,512,1190
IARE102001,36,38,74,40,66,106,94,113,207,65,88,153,47,87,134,34,51,85,23,22,45,40,35,75,44,41,85,423,541,964
IARE102002,7,6,13,29,18,47,27,29,56,18,29,47,17,22,39,12,10,22,6,6,12,13,14,27,53,18,71,182,152,334
IARE102003,28,32,60,45,50,95,67,69,136,39,86,125,41,74,115,50,49,99,31,21,52,52,19,71,37,40,77,390,440,830
IARE102004,8,8,16,16,13,29,34,25,59,25,25,50,20,20,40,11,14,25,5,11,16,6,4,10,16,7,23,141,127,268
IARE102005,37,34,71,62,49,111,71,75,146,58,55,113,46,51,97,32,35,67,23,6,29,26,17,43,43,36,79,398,358,756
IARE102006,21,22,43,23,29,52,51,47,98,26,58,84,29,58,87,46,22,68,24,12,36,25,6,31,24,15,39,269,269,538
IARE102007,58,45,103,76,69,145,139,124,263,58,124,182,55,96,151,50,59,109,27,29,56,36,42,78,86,81,167,585,669,1254
IARE102008,36,20,56,36,37,73,67,64,131,34,64,98,18,53,71,17,23,40,15,9,24,23,13,36,22,16,38,268,299,567
IARE102009,25,24,49,27,34,61,22,33,55,11,35,46,15,56,71,22,33,55,15,12,27,72,20,92,60,9,69,269,256,525
IARE102010,31,47,78,34,59,93,77,79,156,55,70,125,43,78,121,45,54,99,16,14,30,42,19,61,40,46,86,383,466,849
IARE102011,128,115,243,145,151,296,207,232,439,161,250,411,147,256,403,168,182,350,111,67,178,167,118,285,136,112,248,1370,1483,2853
IARE102012,6,8,14,19,15,34,39,43,82,27,34,61,11,23,34,4,10,14,7,0,7,5,3,8,7,15,22,125,151,276
IARE102013,20,13,33,19,19,38,19,18,37,18,23,41,15,23,38,17,19,36,15,16,31,34,12,46,8,11,19,165,154,319
IARE102014,14,11,25,27,25,52,27,43,70,21,31,52,22,22,44,17,21,38,14,3,17,12,11,23,20,24,44,174,191,365
IARE103001,20,17,37,28,24,52,34,43,77,34,31,65,18,47,65,29,39,68,16,21,37,29,34,63,50,56,106,258,312,570
IARE103002,39,20,59,54,47,101,87,88,175,53,80,133,34,36,70,28,34,62,18,21,39,15,20,35,17,23,40,345,369,714
IARE103003,23,29,52,12,21,33,31,50,81,16,23,39,16,21,37,18,14,32,11,5,16,64,24,88,15,5,20,206,192,398
IARE103004,29,31,60,32,35,67,87,65,152,47,77,124,35,82,117,36,36,72,26,25,51,26,18,44,36,39,75,354,408,762
IARE103005,56,60,116,77,79,156,122,146,268,74,133,207,70,121,191,38,59,97,34,27,61,73,72,145,137,64,201,681,761,1442
IARE103006,36,41,77,87,75,162,112,105,217,84,100,184,74,103,177,52,55,107,25,22,47,35,60,95,81,77,158,586,638,1224
IARE104001,27,27,54,42,54,96,73,61,134,43,80,123,42,79,121,29,42,71,24,21,45,39,41,80,30,36,66,349,441,790
IARE104002,22,11,33,15,25,40,22,22,44,24,37,61,17,29,46,14,14,28,9,14,23,19,16,35,12,6,18,154,174,328
IARE104003,63,66,129,60,105,165,95,82,177,68,140,208,72,128,200,65,70,135,47,39,86,157,51,208,156,63,219,783,744,1527
IARE104004,59,68,127,111,112,223,166,167,333,119,171,290,69,144,213,59,66,125,47,43,90,68,63,131,152,83,235,850,917,1767
IARE104005,144,119,263,153,171,324,256,260,516,174,250,424,145,278,423,134,130,264,75,67,142,144,113,257,94,96,190,1319,1484,2803
